Subset,AUC
"('Chroma Features', 'Spectral Contrast', 'Kurtosis')",0.4109131915416677
"('Chroma Features', 'Temporal Spectral Slope', 'Low Band Energy')",0.4089282058384199
"('Chroma Features', 'Silence Ratio', 'Kurtosis')",0.4088601266254665
"('Spectral Contrast', 'Skewness', 'Wavelet Features')",0.408618787001689
"('Spectral Contrast', 'Wavelet Features', 'Low Band Energy')",0.40821327456751827
"('Chroma Features', 'Spectral Contrast')",0.407454761914396
"('Chroma Features', 'Temporal Spectral Slope', 'Wavelet Features')",0.40743527623153386
"('Chroma Features', 'Silence Ratio')",0.40675875241935705
"('Timbre', 'Skewness', 'Wavelet Features')",0.4062808383287247
"('Timbre', 'Skewness')",0.40592585769626927
"('Timbre', 'Silence Ratio', 'Skewness')",0.4041006965523828
"('Chroma Features', 'Skewness', 'Kurtosis')",0.40127932729138366
"('Spectral Contrast', 'Low Band Energy')",0.40069330880257853
"('Chroma Features', 'Silence Ratio', 'Skewness')",0.3992586916919567
"('Spectral Contrast', 'Skewness', 'Low Band Energy')",0.3984683214087023
"('Chroma Features', 'Spectral Contrast', 'Skewness')",0.39607292161351076
"('Chroma Features', 'Skewness')",0.39483892496316325
"('Chroma Features', 'Silence Ratio', 'Wavelet Features')",0.3943388003306915
"('Chroma Features', 'Silence Ratio', 'Low Band Energy')",0.39360767686703896
"('Timbre', 'Spectral Contrast', 'Low Band Energy')",0.39283592091784536
"('Chroma Features', 'Kurtosis', 'Wavelet Features')",0.3926314119375028
"('Timbre', 'Spectral Contrast', 'Temporal Spectral Slope')",0.390568274853079
"('Timbre', 'Spectral Contrast', 'Kurtosis')",0.38542319146029264
"('Chroma Features', 'Spectral Contrast', 'Wavelet Features')",0.3846118029027208
"('Chroma Features', 'Kurtosis', 'Low Band Energy')",0.3841434133938389
"('Chroma Features', 'Timbre', 'Temporal Spectral Slope')",0.38244152840228995
"('Chroma Features', 'Timbre', 'Low Band Energy')",0.3805248512065634
"('Chroma Features', 'Spectral Contrast', 'Low Band Energy')",0.37996723577034186
"('Chroma Features', 'Wavelet Features', 'Low Band Energy')",0.3794255393774622
"('Timbre', 'Spectral Contrast', 'Wavelet Features')",0.3789153363405158
"('Chroma Features', 'Low Band Energy')",0.37727817677177916
"('Chroma Features', 'Wavelet Features')",0.37670609423102963
"('Chroma Features', 'Timbre', 'Kurtosis')",0.37414989376226293
"('Timbre', 'Spectral Contrast')",0.37386396324283405
"('Chroma Features', 'Skewness', 'Wavelet Features')",0.3734229434159017
"('Timbre', 'Silence Ratio', 'Spectral Contrast')",0.3728992175964733
"('Chroma Features', 'Timbre', 'Wavelet Features')",0.372661347785888
"('Chroma Features', 'Skewness', 'Low Band Energy')",0.3717499921924954
"('Timbre', 'Spectral Contrast', 'Skewness')",0.37038267088612603
"('Chroma Features', 'Timbre', 'Spectral Contrast')",0.36916936880253837
"('Chroma Features', 'Timbre')",0.3635420647665184
"('Chroma Features', 'Timbre', 'Silence Ratio')",0.36064779324073065
"('Chroma Features', 'Timbre', 'Skewness')",0.35700407092559505
